x, y
08/10/2023 18:44,5469.9996
08/10/2023 18:47,5784.99961
08/10/2023 18:44,6264.99917
08/10/2023 18:51,6549.99964
08/10/2023 18:59,6189.99963
08/10/2023 18:55,5935.00007
08/10/2023 19:03,5620.00006
08/10/2023 19:06,5379.99959
08/10/2023 19:03,5080.00004
08/10/2023 19:05,4779.99911
08/10/2023 19:06,4585.00002
08/10/2023 19:14,4329.9991
08/10/2023 19:21,
08/10/2023 19:21,3699.99907
08/10/2023 19:23,3474.99906
08/10/2023 19:28,3264.99951
08/10/2023 19:30,2934.99904
08/10/2023 19:35,2679.99949
08/10/2023 19:32,2514.99994
08/10/2023 19:38,2289.99993
08/10/2023 19:37,2079.99901
08/10/2023 19:41,1584.99899
08/10/2023 19:43,1254.9999
08/10/2023 19:52,699.99942
08/10/2023 19:45,339.9994
08/10/2023 19:57,-20.00061
08/10/2023 20:25,84.99985
08/10/2023 20:51,24.99939
08/10/2023 21:09,-5.00015
08/10/2023 21:33,-5.00015
08/10/2023 22:02,-5.00015
08/10/2023 22:36,-5.00015
08/10/2023 22:53,-20.00061
08/10/2023 23:25,-20.00061
08/10/2023 23:55,-50.00015
09/10/2023 00:23,-20.00061
09/10/2023 01:03,54.99893
09/10/2023 01:50,24.99939
09/10/2023 02:22,-20.00061
09/10/2023 02:49,9.99893
09/10/2023 03:18,9.99893
09/10/2023 03:57,9.99893
09/10/2023 04:21,9.99893
09/10/2023 04:50,9.99893
09/10/2023 05:13,9.99893
09/10/2023 05:23,309.99986
09/10/2023 05:27,789.99942
09/10/2023 05:41,1194.99944
09/10/2023 05:42,1449.99899
09/10/2023 05:57,1629.99899
09/10/2023 06:24,1524.99991
09/10/2023 06:50,1689.99945
09/10/2023 07:01,1239.99944
09/10/2023 07:31,1359.99898
09/10/2023 07:49,939.99988
09/10/2023 08:09,1044.99897
09/10/2023 08:29,2979.99905
09/10/2023 08:20,1854.999
09/10/2023 08:28,2529.99903
09/10/2023 08:53,3174.99951
09/10/2023 09:04,3654.99907
09/10/2023 09:12,
09/10/2023 09:12,4495.00002
09/10/2023 09:40,4659.99957
09/10/2023 09:41,4299.99955
09/10/2023 09:41,4119.99955
09/10/2023 09:48,3684.99999
09/10/2023 09:47,3204.99905
09/10/2023 09:52,2694.99995
09/10/2023 09:52,2334.99994
09/10/2023 09:50,1929.99992
09/10/2023 09:58,1554.99945
09/10/2023 09:59,1194.99944
09/10/2023 10:01,834.99942
09/10/2023 10:21,924.99942
09/10/2023 10:28,519.99941
09/10/2023 10:42,114.99939
09/10/2023 11:08,114.99939
09/10/2023 11:08,714.99987
09/10/2023 11:11,1209.99989
09/10/2023 11:14,1644.99945
09/10/2023 11:14,2259.99902
09/10/2023 11:17,2784.99995
09/10/2023 11:19,3294.99906
09/10/2023 11:26,3654.99907
09/10/2023 11:26,4974.99958
09/10/2023 11:47,4855.00003
09/10/2023 11:51,5199.99959
09/10/2023 11:57,5710.00007
09/10/2023 11:59,6340.00009
09/10/2023 12:05,6925.00011
09/10/2023 12:13,7404.99967
09/10/2023 12:12,7809.99969
09/10/2023 12:29,7584.99968
09/10/2023 12:35,7209.99921
09/10/2023 12:34,6970.00011
09/10/2023 12:37,6414.99963
09/10/2023 12:33,6054.99962
09/10/2023 12:37,5784.99961
09/10/2023 12:37,5305.00005
09/10/2023 12:35,4794.99957
09/10/2023 12:44,4675.00003
09/10/2023 12:51,
09/10/2023 12:47,3684.99999
09/10/2023 12:49,3234.99997
09/10/2023 12:56,2844.99904
09/10/2023 12:58,2319.99948
09/10/2023 13:16,2379.99994
09/10/2023 13:25,2049.99947
09/10/2023 13:20,1839.99992
09/10/2023 13:28,1449.99899
09/10/2023 13:38,1089.99897
09/10/2023 14:03,1074.99989
09/10/2023 13:56,1389.9999
09/10/2023 14:01,1734.99946
09/10/2023 14:07,2214.99902
09/10/2023 14:16,2664.99903
09/10/2023 14:21,2994.9995
09/10/2023 14:18,3609.99907
09/10/2023 14:40,3084.99951
09/10/2023 14:44,2709.99904
09/10/2023 14:48,2349.99902
09/10/2023 14:56,1824.99946
09/10/2023 14:55,1569.99991
09/10/2023 14:59,1164.99989
09/10/2023 15:01,489.99987
09/10/2023 15:08,24.99939
09/10/2023 16:14,69.99939
09/10/2023 15:46,39.99985
09/10/2023 16:35,24.99939
09/10/2023 17:01,69.99939
09/10/2023 17:58,99.99894
09/10/2023 18:10,99.99894
09/10/2023 19:08,24.99939
09/10/2023 19:38,84.99985
09/10/2023 20:16,84.99985
09/10/2023 21:03,24.99939
09/10/2023 21:46,24.99939
09/10/2023 22:17,54.99893
09/10/2023 22:44,54.99893
09/10/2023 23:34,84.99985
10/10/2023 00:12,474.99941
10/10/2023 00:54,924.99942
10/10/2023 01:23,1389.9999
10/10/2023 01:50,1494.99899
10/10/2023 02:21,1809.999
10/10/2023 02:36,1599.99945
10/10/2023 03:04,1824.99946
10/10/2023 03:24,1479.9999
10/10/2023 03:41,1869.99946
10/10/2023 04:02,1539.99899
10/10/2023 04:32,2034.99901
10/10/2023 04:39,2949.9995
10/10/2023 04:49,4434.99956
10/10/2023 05:14,5019.99958
10/10/2023 05:22,5890.00007
10/10/2023 05:23,6804.99919
10/10/2023 05:29,7629.99968
10/10/2023 05:36,8379.99925
10/10/2023 05:59,8799.99973
10/10/2023 05:59,8050.00015
10/10/2023 06:01,7510.00013
10/10/2023 06:03,6909.99965
10/10/2023 05:59,6565.0001
10/10/2023 06:01,6025.00008
10/10/2023 06:03,5620.00006
10/10/2023 06:09,5094.99913
10/10/2023 06:08,4765.00003
10/10/2023 06:08,4315.00001
10/10/2023 06:12,3804.99953
10/10/2023 06:12,3459.99998
10/10/2023 06:16,2784.99995
10/10/2023 06:34,3039.99951
10/10/2023 06:57,2259.99902
10/10/2023 07:19,2529.99903
10/10/2023 07:29,3579.99953
10/10/2023 07:30,4329.9991
10/10/2023 07:33,5064.99958
10/10/2023 07:33,5784.99961
10/10/2023 07:39,6579.99918
10/10/2023 07:48,7179.99966
10/10/2023 08:08,7195.00012
10/10/2023 08:15,7690.00014
10/10/2023 08:16,8169.9997
10/10/2023 08:16,8725.00018
10/10/2023 08:20,9339.99975
10/10/2023 08:24,10000
10/10/2023 08:33,10329.99978
10/10/2023 08:55,9445.00021
10/10/2023 09:04,8379.99925
10/10/2023 08:58,9069.99974
10/10/2023 09:11,8019.99924
10/10/2023 09:10,7584.99968
10/10/2023 09:14,7074.9992
10/10/2023 09:34,6430.00009
10/10/2023 09:47,5499.99914
10/10/2023 09:47,4914.99912
10/10/2023 09:58,4225.00001
10/10/2023 10:11,3219.99951
10/10/2023 10:38,5049.99912
10/10/2023 10:56,3789.99908
10/10/2023 10:27,
10/10/2023 10:48,4495.00002
10/10/2023 09:58,3744.99907
10/10/2023 11:06,4299.99955
10/10/2023 11:06,4855.00003
10/10/2023 11:13,5364.99914
10/10/2023 11:09,6099.99962
10/10/2023 11:20,6534.99918
10/10/2023 11:24,7134.99966
10/10/2023 11:31,6295.00009
10/10/2023 11:34,5845.00007
10/10/2023 11:42,5379.99959
10/10/2023 11:45,4959.99912
10/10/2023 11:57,4434.99956
10/10/2023 12:03,4029.99954
10/10/2023 12:03,3669.99953
10/10/2023 12:12,3249.99906
10/10/2023 12:15,2919.99996
10/10/2023 12:21,2604.99995
10/10/2023 12:30,2334.99994
10/10/2023 12:29,1914.99946
10/10/2023 12:30,1494.99899
10/10/2023 12:44,939.99988
10/10/2023 12:48,504.99895
10/10/2023 12:59,24.99939
10/10/2023 13:37,39.99985
10/10/2023 14:13,54.99893
10/10/2023 14:57,114.99939
10/10/2023 15:27,99.99894
10/10/2023 16:01,54.99893
10/10/2023 16:24,54.99893
10/10/2023 16:55,129.99985
10/10/2023 17:25,9.99893
10/10/2023 17:44,84.99985
10/10/2023 04:46,4029.99954
10/10/2023 04:42,3549.99998
10/10/2023 04:43,3249.99906
10/10/2023 04:34,2604.99995
10/10/2023 06:43,2694.99995
10/10/2023 07:25,2844.99904
10/10/2023 07:29,3234.99997
10/10/2023 07:32,4014.99909
10/10/2023 07:40,4824.99912
10/10/2023 07:40,6430.00009
10/10/2023 05:32,7330.00013
10/10/2023 05:36,8064.99924
10/10/2023 06:03,8394.99971
10/10/2023 05:23,6414.99963
10/10/2023 05:21,5530.00006
