,date,actual,pred
148,2023-07-07 19:45:00,1418.0,561.5889
149,2023-07-08 06:00:00,1066.0,635.2428
150,2023-07-08 06:15:00,1006.0000000000001,1200.1547
151,2023-07-08 06:30:00,1144.0,1491.1622
152,2023-07-08 06:45:00,1228.0,1906.4688
153,2023-07-08 07:00:00,1481.0,2082.7341
154,2023-07-08 07:15:00,2836.0,2174.9993
155,2023-07-08 07:30:00,3288.0,2107.2107
156,2023-07-08 07:45:00,3298.9999999999995,2011.5238
157,2023-07-08 08:00:00,3674.0,2493.1846
158,2023-07-08 08:15:00,4756.0,3052.0332
159,2023-07-08 08:30:00,5920.000000000001,6127.028
160,2023-07-08 08:45:00,7372.999999999999,8651.892
161,2023-07-08 09:00:00,10234.0,11265.014
162,2023-07-08 09:15:00,12437.0,13329.317
163,2023-07-08 09:30:00,13201.0,14569.823
164,2023-07-08 09:45:00,13719.0,15232.636
165,2023-07-08 10:00:00,14643.999999999998,16214.116
166,2023-07-08 10:15:00,15398.0,16520.57
167,2023-07-08 10:30:00,15992.0,16888.326
168,2023-07-08 10:45:00,16571.0,17046.65
169,2023-07-08 11:00:00,17098.0,17227.08
170,2023-07-08 11:15:00,17466.0,17079.895
171,2023-07-08 11:30:00,17724.0,17141.031
172,2023-07-08 11:45:00,17686.0,17134.72
173,2023-07-08 12:00:00,17748.0,16983.23
174,2023-07-08 12:15:00,17684.0,16898.49
175,2023-07-08 12:30:00,17561.0,16782.812
176,2023-07-08 12:45:00,17402.0,16494.451
177,2023-07-08 13:00:00,17035.0,16255.219
178,2023-07-08 13:15:00,16778.0,15969.984
179,2023-07-08 13:30:00,16488.0,15394.343
180,2023-07-08 13:45:00,16055.0,15154.408
181,2023-07-08 14:00:00,15449.0,14718.756
182,2023-07-08 14:15:00,15022.999999999998,14420.2295
183,2023-07-08 14:30:00,14454.0,13775.76
184,2023-07-08 14:45:00,13755.0,13140.026
185,2023-07-08 15:00:00,13201.0,12325.743
186,2023-07-08 15:15:00,12382.0,11408.208
187,2023-07-08 15:30:00,11686.999999999998,10272.791
188,2023-07-08 15:45:00,10784.0,9214.378
189,2023-07-08 16:00:00,7185.0,7955.7407
190,2023-07-08 16:15:00,6172.999999999999,6645.091
191,2023-07-08 16:30:00,7029.0,5780.114
192,2023-07-08 16:45:00,5045.0,4853.545
193,2023-07-08 17:00:00,4123.0,3851.1704
194,2023-07-08 17:15:00,1826.0,2457.2734
195,2023-07-08 17:30:00,1864.0000000000002,1153.2249
196,2023-07-08 17:45:00,1806.0,875.94293
197,2023-07-08 18:00:00,1671.0000000000002,734.85187
198,2023-07-08 18:15:00,1648.0,692.734
199,2023-07-08 18:30:00,938.0,662.54333
200,2023-07-08 18:45:00,0.0,529.84424
201,2023-07-08 19:00:00,0.0,356.53516
202,2023-07-08 19:15:00,0.0,455.21698
203,2023-07-08 19:30:00,0.0,462.5055
204,2023-07-08 19:45:00,1274.0,522.5488
205,2023-07-09 06:00:00,1312.0,562.02325
206,2023-07-09 06:15:00,1445.0000000000002,1025.5259
207,2023-07-09 06:30:00,1604.0,1250.7719
208,2023-07-09 06:45:00,2088.0,1513.7502
